TipoMoeda,Area,CentroX,CentroY
2euro,27387.5,587,237
10c,15450,966,239
1c,10764,806,239
1euro,22904,444,233
20c,20119.5,678,239
5c,18646.5,619,231
50c,24273.5,1013,232
20c,20109.5,628,235
5c,18895.5,954,228
5c,18796,718,238
20c,21221,355,238
1c,11474,933,235
20c,20171.5,1160,235
20c,20090.5,563,224
5c,18769.5,1035,233
5c,18893.5,1174,226
1c,10935,814,233
10c,15974,387,238
2c,14910.5,1001,233
10c,15620,693,237
Desconhecida,1706,840,231
10c,15178.5,1143,238
1c,10838,1019,229
1c,11616,383,237
1c,10892,834,231
1euro,23063.5,1174,230
Desconhecida,43249,522,230
20c,19666.5,1023,238
2c,14460,731,232
20c,21752.5,534,230
1c,11056.5,930,234
1euro,22298.5,482,229
10c,16073.5,917,225
